pk;id;artist;title;category;genre;cdextra;year;track01;track02;track03;track04;track05;track06;track07;track08;track09;track10;track11;track12;track13;track14;track15;track16;track17;track18;track19;track20;track21;track22;track23;track24;track25;track26;track27;track28;track29;track30;track31;track32;track33;track34;track35;track36;track37;track38;track39;track40;track41;track42;track43;track44;track45;track46;track47;track48;track49;track50;track51;track52;track53;track54;track55;track56;track57;track58;track59;track60;track61;track62;track63;track64;track65;track66;track67;track68;track69;track70;track71;track72;track73;track74;track75;track76;track77;track78;track79;track80;track81;track82;track83;track84;track85;track86;track87;track88;track89;track90;track91;track92;track93;track94;track95;track96;track97;track98;track99
2317;a909860e;Vømmøl Spellmannslag;Vømmøl'n;folk;Folk;YEAR: 1974 ID3G: 80;1974;Vømmølstev;Høvlerivisa;Peder og Hamarforsens brus;Vinterbruden;Martin i svingen;Spæll åt mæ;Vømmøl'n;Gammel Thomas;Tango kapital;Porselenstrand;Jonassen;Ann Magrit;Dæven han ta;Johan Møkkerbakken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2366;aa0a7f0d;The Greenland Whalefishers;the mainstreet sword;folk;Folk-Rock;;;1. i am roving.;2. peggy lettermore.;3. mary B.;4. the clown.;5. the mainstreet sword.;6. father mclean is a headbanger.;7. the stranger inside of you.;8. 4 season song.;9. a.if.;9. medley,the irish washerwoman,kaliope house,cape breton jigs.;10. uthopia.;11. darkland.;12. corea wet jam.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2367;aa0a810d;The Greenland Whalefishers;The Mainstreet Sword;folk;Folk-Rock;YEAR: 1996 ID3G: 81;1996;1. I Am Roving;2. Peggy Lettermore.;3. Mary B.;4. The Clown;5. The Mainstreet Sword;6. Father Maclean Is A Headbanger;7. The Stranger Inside Of You;8. 4 Season Song;9. a   If  9. b  Medley The Irish Washerwoman,Kaliope House,Cape Breton Jigs;10. Utophia;11. Darkland;12. Corea Vet Jam;13. Lullaby;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2406;ab09900c;Francesco De Gegori;Alice non lo sa;folk;pop;;1973;Alice;1940;Le strade di lei;Suonatori di flauto;Buonanotte fratello;Sono tuo;I musicanti;La casa di Hilde;Il ragazzo;Irene;Marianna al bivio;Saigon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2418;ab0a950d;²ÌÇÙ;ÎçÒ¹³¡;folk;Pop;;1995;ĞòÄ»;µãÁÁÄŞºçµÆ;ÏãÑÌÃÔÃÉÁËÑÛ¾¦;ÔÙ»îÒ»±é;ÌØ±ğÀ´±ö;ÄãÊÇ×îÀäµÄÇéÈË;Ò»¸öÈË³ª¸è;ĞÄÉÏÃ»ÓĞÈË;¾À²øÒ»Éú;ÀñÎï;µ±¹Â¶ÀÓöµ½¼ÅÄ¯;Ò¹Íâ¾°;Ñ©¸è;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2427;ab0bdd0d;Cranberries;No Need to Argue;folk;Pop-Folk;YEAR: 1994;1994;Ode to My Family;I Can't Be with You;Twenty One;Zombie;Empty;Everything I Said;The Icicle Melts;Disappointment;Ridiculous Thoughts;Dreaming My Dreams;Yeat's Grave;Daffodil Lament;No Need to Argue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2440;ab0e3b0c;Nando Reis;A Letra A;folk;Pop;YEAR: 2003 ID3G: 13;2003;A Letra A;E Tudo Mais;Dentro Do Mesmo Time;Hoje Mesmo;De Lhe Pra Te;O Meu Posto;De Mãos Dadas;Mesmo Sozinho;Púrpura;Luz Dos Olhos;Um Simples Abraço;Tão Diferente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2530;ad0bec0c;¼Ò¸®¿¤;Shema;folk;Gospel;ID3G: 38;;01-³ª¸¦ ÇâÇÑ ÁÖÀÇ »ç¶û;02-ÇÏ´Ã À§¿¡ ÁÖ´Ô ¹Û¿¡;03-³ªÀÇ ¸ğ½À ³ªÀÇ ¼ÒÀ¯;04-¸ñ¸¶¸¥ ÀÚµé¾Æ;05-¸¶À½ÀÌ »óÇÑ ÀÚ¸¦;06-¸ğµç ´É·Â°ú ¸ğµç ±Ç¼¼;07-½¦¸¶;08-ÀºÇı·Î¸¸;09-º¸¸®¶ó;10-ÁÖÀÇ ÀÚºñ°¡ ³»·Á¿Í;11-º¸ÁÂ¾Õ¿¡;12-¸¶À½ÀÌ »óÇÑ ÀÚ¸¦ (Cello);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2571;ae0cfd0d;Chayanne;Simplemente;folk;Latin;;1999;Boom Boom;Las Horas Pasan;Candela;Yo Te Amo;Hasta Que el Alma Resista;Ay Mama;Guando un Amor Se Va;Oye Mar (Cancao Do Mar);Mariana Mambo;Quien Puso Mas;Mi Cafetal;Te Necesito (Aprender a Amar);Simplemente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2577;ae0e160c;Jacky Tar;Defenestration;folk;Celtic;YEAR: 2002 ID3G: 88;2002;Rovin' Journeyman;Billy the Whizz;Hoora Hoora;Barry;Keepin' it Filthy;Where's the Haggis?;Waves of Rush;Poor Man's Labour (Remix);What Comes Next;Uisce Beatha;Arooh Arooh;Billy's Reprise + Bonus Track;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2581;ae0e490c;Jacky Tar;Defenestration;folk;Folk;;;Rovin' Journeyman;Billy The Whizz;Uisce Beatha;Barry;Keepin' It Filthy;Where's The Haggis?;Waves Of Rush;Poor Mans Labour (Remix);What Comes Next;Hoora Hoora;Arooh Arooh;Billy's Reprise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2619;af0ca00c;Shane Barnard;Psalms;folk;Folk-Rock;;2001;Unto You;Waiting Room;Psalm 13;Psalm 143 (Receive Me);Psalm 145;Psalm 110 (This is the Day);Name's Sake;Hosea;Praise the Name of Jesus;We've Come to Declare;May the Words of My Mouth;You Said;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2707;a10eea0d;Bruce Dickinson;The Best Of Bruce Dickinson (DISC 1);jazz;Metal;YEAR: 2001;2001;Broken;Tattooed Millionaire;Laughing In The Hiding Bush (LIVE);Tears Of The Dragon;The Tower;Born In '58;Accident Of Birth;Silver Wings;Darkside Of Aquarius;Chemical Wedding;Back From The Edge;Road To Hell;Book Of Thel (LIVE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2771;a30c690b;Rechard Bona;Munia;jazz;Jazz;;2003;Bonatology (Incantation);Kalabancoro;Sona Mama;Painting a wish;Engingilaye;Dina Lam (Incantation);Balemba Na Bwemba;Muto Bye Bye;Bona Petit;Couscous;Playground;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2781;a30da00d;Gipsy Kings;Compas;jazz;Latin;YEAR: 1997;1997;Ami Wa Wa (Solo Por Ti);Que Si Que No (Funiculi Funicula);Una Rumba Por Aqui;Receuerdo Apasionado;Mira La Itana Mora;La Fiesta Comenza;Canto A Brazil;Salsa De Noche;Mi Nino;Di Me;Obsesion De Amor;Lo Mal Y Lo Bien;Amor Gitano;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2807;a409020d;Combustible Edison;Schizophonic;jazz;Jazz;;1996;Alright, Already;Bluebeard;The Checkered Flag;One Eyed Monkey;Solid State;Les Yeux Sans Visage;"\52\""""";Short Double Latte;Mudhead;Morticia;Objet D'Amour;The Corner Table;Lonelyville;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2813;a40b200d;Corduroy;Out of Here;jazz;;;;Don't Wait for Monday;Practise What You Preach;Red Mercury;End of the Rainbow;Out of Here;The Diceman;Magic Carpet;January Woman;Mini;Along the Rooftops;Ayrton Senna;Motorhead;Goodbye;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2819;a40c3b0b;Peter White;Promenade;jazz;Jazz;;1993;Promenade;Undercover;Piece of the City;Peeto Bandito;What's Going On;By Candlelight;Boulevard;Reason To Live;Deep In My Heart;The Storm;November;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2823;a40d2f0e;The Jazzmasters;The Jazzmasters4;jazz;;;;valley of the harps;feeling blue;visions of illusion;lifetime;puerto banus;time 4 living;signs of life(still searching);emerald stardust;voice of the angels;quiet groove;valley of the harps reprise;how long;if you knew;in the rhythm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2890;a609550f;Nat King Cole;Vaya Con Dios;jazz;jazz;;;Ansiedad;Perfidia;Maria Elena;Solamente una vez;Te quiero dijiste;Adio Mariquita Linda;Quizas quizas quizas;Aquellos ojos verdes;No me platiques;Nadie me ama;Acercate mas;Tres palabras;Noche de ronda;Suas maos;Vaya con dios;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2891;a609560f;Nat King Cole;En Espanol (Disk 1);jazz;;;;Ansiedad;Perfidia;Maria Elena;Solamente una vez;Te quiero dijiste;Adio Mariquita Linda;Quizas quizas quizas;Aquellos ojos verdes;No me platiques;Nadie me ama;Acercate mas;Tres palabras;Noche de ronda;Suas maos;Vaya con dios;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2950;a70d7f0c;Eros Ramazzotti;Donde Hay Musica;jazz;Ballad;;1996;Donde Hay Musica;Estrella Gemela;La Cosa Mas Bella;La Aurora;Carta Al Futuro;Yo Amare';Este Inmenso Show;Casi Amor;Yo Sin Ti;Pero Ella;Huracan Meri;Buena Vida;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2957;a70ef00c;Kenny G;The Moment;jazz;Jazz;;;The Moment;Passages;Havana;Always;That Somebody Was You (feat Toni Braxton);The Champion's Theme;Eastside Jam;Moonlight;Gettin' On The Step;Everytime I Close My Eyes (feat Babyface);Northern Lights;Innocnece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3086;ab07fc0e;The Drifters;Under The Boardwalk;jazz;Other;ID3G: 12;;Under The Boardwalk;I Count The Tears;Up On The Roof;Please Stay;On Broadway;When My Little Girl Is Smiling;(If You Cry) True Love, True Love;There Goes My Baby;This Magic Moment;Some Kind Of Wonderful;Dance With Me;Save The Last Dance For Me;Sweets For My Sweet;Saturday Night At The Movies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3096;ab0c630c;The Philosopher Kings;The Philosopher Kings;jazz;;;;Turn My Head Around;Lay My Body Down;All Dressed Up For San Francisco;Can't Get My Mind Around You;All To Myself;Leave That Man;Do You Swear;Everyone'll Let You Down;Just Like A Woman;Charms;Fingernails To Claws;No Woman Around;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3106;ab0edd0c;Kenny G;The Moment;jazz;Jazz;YEAR: 1996 ID3G: 8;1996;The Moment;Passages;Havana;Always;That Somebody Was You;The Champion's Theme;Eastside Jam;Moonlight;Gettin' On The Step;Everytime I Close My Eyes;Northern Lights;Innocence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3123;ac0c630c;Philosopher Kings;the Philosopher Kings;jazz;;;;Turn My Head Around;Lay My Body Down;All Dressed Up for San Francisco;Can't Get My Mind Around You;All to Myself;Leave That Man;Do You Swear;Everyone'll Let You Down;Just Like a Woman;Charms;Fingernails to Claws;No Woman Around;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3125;ac0d240c;Bjork;Vespertine;jazz;;;;Hidden Place;Cocoon;It's Not Up To You;Undo;Pagan Poetry;Frosti;Aurora;An Echo, A Stain;Sun In My Mouth;Heirloom;Harm Of Will;Unison;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3134;ac0ead0c;Metallica;Metallica;jazz;Heavy Metal;;1991;Enter Sandman;Sad But True;Holier Than Thou;The Unforgiven;Wherever I May Roam;Don't Tread On Me;Through the Never;Nothing Else Matters;Of Wolf and Man;The God That Failed;My Friend of Misery;The Struggle Within;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3155;ad0b1e0d;Corduroy;Out Of Here;jazz;Acid Jazz;ID3G:   8;1995;Don't Wait For Monday;Practise What You Preach;Red Mercury;End Of The Rainbow;Out Of Here;The Diceman;Magic Carpet;January Woman;Mini;Along The Rooftops;Ayrton Senna;Motorhead;Goodbye;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3159;ad0c080d;Manuel Barrueco;Nylon & Steel;jazz;Jazz;;2001;Manuel Barrueco / Odeon;Manuel Barrueco,Al Di Meola / Beyond the Mirage;Manuel Barrueco,Al Di Meola / Azzurra;Manuel Barrueco,Al Di Meola / The Grand Passion;Manuel Barrueco,Steve Morse / Wolvesville (an improvisation on Etude No;. 1 by Villa-Lobos);Manuel Barrueco,Steve Morse / Cavatina;Manuel Barrueco,Steve Morse / Without Sunglasses (Sense Ulleres de Sol);Manuel Barrueco,Steve Morse / Northern Lights;Manuel Barrueco,Steve Morse / Up in the Air;Manuel Barrueco,Andy Summers / Mysteries of the Slow River (Misterios d;o Rio Lento);Manuel Barrueco,Andy Summers / I Remember Andy Summers;Manuel Barrueco,Andy Summers / Crow at Midnight;Manuel Barrueco / Rodeo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3185;ae09d90d;Glenn Miller;The Original Glenn Miller Reunion 1954;jazz;;;;Moonlight Serenade;Anvil Chorus;Song of The Volga Boatmen;Tuxedo Junction;American Patrol;In The Mood;Perfidia;Serenade/Chatanooga Choo ChI've Got A Girl In Kalamazoo/Moonlight Cocktails/Elmer's Tune/Moonlight;That Old Black Magic;A String of Pearls;Pennsylvania 6-5000;Too Little Time;Little Brown Jug;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3192;ae0c400c;Vanessa Williams;The Sweetest Days;jazz;Pop;;1995;Intro-lude;The Way That You Love;Betcha Never;The Sweetest Day;Higher Ground;You Don't Have To Say You're Sorry;Ellamental;Sister Moon;You Can't Run;Moonlight Over Paris;Constantly;Long Way Home;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3215;af07ef0e;Greatest Hits?The Drifters;Under The Boardwalk;jazz;Oldies;;;Under The Boardwalk;I Count The Tears;Up On The Roof;Please Stay;On Broadway;When My Little Girl Is Smiling;True Love, True Love;There Goes My Baby;This Magic Moment;Some Kind Of Wonderful;Dance With Me;Save The Last Dance For ME;Sweets for My Sweet;Saturday Night at the Movies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3222;af0a7d0d;LISA ONO;DREAM;jazz;;;;ON THE SUNNY SIDE OF THE STREET;MOONLIGHT SERENADE;UNDESIDED;TEAR FOR TWO;NIGHT AND DAY;AS TIME GOES BY;STOMPIN' AT TH E SAVOY;THE BOY NEXT DOOR;IN THE MOOD;DREAM;ANGEL'S EYES;SENTIMENTAL JOURNEY;CHATTANOOGA CHOO-CHOO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
