"";"First.Object";"Second.Object";"similaridade"
"53";"cd.[6944]";"cd.[9868]";0,982142850756645
"54";"cd.[6358]";"cd.[9694]";0,969899669289589
"55";"cd.[8311]";"cd.[8312]";1
"56";"cd.[2440]";"cd.[5443]";1
"57";"cd.[2781]";"cd.[9669]";1
"58";"cd.[4508]";"cd.[9662]";1
"59";"cd.[8114]";"cd.[8659]";1
"60";"cd.[3539]";"cd.[4190]";0,984375
"61";"cd.[8668]";"cd.[8843]";1
"62";"cd.[3356]";"cd.[6955]";1
"63";"cd.[2807]";"cd.[7064]";0,980769231915474
"64";"cd.[3529]";"cd.[4114]";0,988095238804817
"65";"cd.[6316]";"cd.[7311]";1
"66";"cd.[7363]";"cd.[8118]";0,977272719144821
"67";"cd.[9614]";"cd.[9678]";1
"68";"cd.[2406]";"cd.[7291]";0,987499997019768
"69";"cd.[3159]";"cd.[9969]";0,99479167163372
"70";"cd.[4292]";"cd.[8795]";1
"71";"cd.[3678]";"cd.[4266]";1
"72";"cd.[4266]";"cd.[6690]";1
"73";"cd.[3678]";"cd.[6690]";1
"74";"cd.[2577]";"cd.[2581]";0,983333334326744
"75";"cd.[4481]";"cd.[6716]";1
"76";"cd.[8919]";"cd.[9083]";1
"77";"cd.[7859]";"cd.[9798]";0,980769231915474
"78";"cd.[4441]";"cd.[7515]";1
"79";"cd.[100198]";"cd.[106489]";1
"80";"cd.[10253]";"cd.[10368]";1
"81";"cd.[11530]";"cd.[5099]";1
"82";"cd.[8274]";"cd.[8805]";1
"83";"cd.[9713]";"cd.[9738]";1
"84";"cd.[5324]";"cd.[7847]";1
"85";"cd.[10061]";"cd.[3517]";0,986111104488373
"86";"cd.[7134]";"cd.[9695]";1
"87";"cd.[4178]";"cd.[7199]";1
"88";"cd.[2187]";"cd.[2418]";1
"89";"cd.[6663]";"cd.[6665]";0,977272719144821
"90";"cd.[5394]";"cd.[5418]";0,984375
"91";"cd.[10652]";"cd.[9640]";1
"92";"cd.[2004]";"cd.[3710]";1
"93";"cd.[4613]";"cd.[6116]";0,97826087474823
"94";"cd.[5912]";"cd.[8949]";1
"95";"cd.[8778]";"cd.[9060]";1
"96";"cd.[10107]";"cd.[7341]";1
"97";"cd.[7918]";"cd.[9172]";1
"98";"cd.[2571]";"cd.[9019]";1
"99";"cd.[3931]";"cd.[5754]";1
"100";"cd.[6568]";"cd.[9557]";1
"101";"cd.[6737]";"cd.[7722]";1
"102";"cd.[7404]";"cd.[7405]";1
"103";"cd.[2957]";"cd.[3106]";1
"104";"cd.[4384]";"cd.[5657]";1
"105";"cd.[2427]";"cd.[8640]";0,955592110753059
"106";"cd.[2252]";"cd.[4733]";1
"107";"cd.[4975]";"cd.[5889]";0,972222218910853
"108";"cd.[5577]";"cd.[8990]";0,989583333333333
"109";"cd.[7008]";"cd.[8831]";1
"110";"cd.[3475]";"cd.[8592]";0,970370382070541
"111";"cd.[4586]";"cd.[7633]";0,951515138149261
"112";"cd.[8224]";"cd.[8754]";1
"113";"cd.[4441]";"cd.[8151]";0,935314685106277
"114";"cd.[3670]";"cd.[4441]";0,957427541414897
"115";"cd.[4441]";"cd.[7515]";1
"116";"cd.[3670]";"cd.[8151]";0,900932401418686
"117";"cd.[7515]";"cd.[8151]";0,935314685106277
"118";"cd.[3670]";"cd.[7515]";0,957427541414897
"119";"cd.[10240]";"cd.[7367]";0,988888889551163
"120";"cd.[10361]";"cd.[5426]";0,970370372136434
"121";"cd.[10361]";"cd.[7869]";0,970370372136434
"122";"cd.[5426]";"cd.[7869]";1
"123";"cd.[4179]";"cd.[4732]";0,948148151238759
"124";"cd.[4179]";"cd.[4911]";0,948148151238759
"125";"cd.[4732]";"cd.[4911]";1
"126";"cd.[6811]";"cd.[7429]";0,929951707522074
"127";"cd.[3192]";"cd.[7923]";0,98333332935969
"128";"cd.[4395]";"cd.[8725]";0,970370372136434
"129";"cd.[6948]";"cd.[7365]";0,963293651739756
"130";"cd.[6339]";"cd.[7517]";1
"131";"cd.[7852]";"cd.[8029]";1
"132";"cd.[10383]";"cd.[7852]";1
"133";"cd.[10230]";"cd.[7852]";0,966666678587596
"134";"cd.[6858]";"cd.[7852]";0,933333337306976
"135";"cd.[10383]";"cd.[8029]";1
"136";"cd.[10230]";"cd.[8029]";0,966666678587596
"137";"cd.[6858]";"cd.[8029]";0,933333337306976
"138";"cd.[10230]";"cd.[10383]";0,966666678587596
"139";"cd.[10383]";"cd.[6858]";0,933333337306976
"140";"cd.[10230]";"cd.[6858]";0,944444457689921
"141";"cd.[7350]";"cd.[8473]";1
"142";"cd.[7288]";"cd.[7483]";1
"143";"cd.[10938]";"cd.[11125]";1
"144";"cd.[2366]";"cd.[2367]";0,897407392660777
"145";"cd.[10064]";"cd.[2819]";1
"146";"cd.[4297]";"cd.[4306]";1
"147";"cd.[4297]";"cd.[8636]";1
"148";"cd.[4306]";"cd.[8636]";1
"149";"cd.[6925]";"cd.[6926]";0,985185205936432
"150";"cd.[6314]";"cd.[8464]";0,946224252382914
"151";"cd.[4291]";"cd.[4905]";1
"152";"cd.[6722]";"cd.[7707]";1
"153";"cd.[3722]";"cd.[8453]";1
"154";"cd.[6719]";"cd.[8453]";1
"155";"cd.[3722]";"cd.[6719]";1
"156";"cd.[6413]";"cd.[7975]";0,955555558204651
"157";"cd.[7201]";"cd.[8536]";1
"158";"cd.[7606]";"cd.[8538]";1
"159";"cd.[109296]";"cd.[109299]";0,898432771364848
"160";"cd.[7671]";"cd.[8759]";1
"161";"cd.[5360]";"cd.[8430]";0,904084811607997
"162";"cd.[6102]";"cd.[9115]";1
"163";"cd.[7920]";"cd.[8494]";0,943518539269765
"164";"cd.[6382]";"cd.[7920]";0,958333333333333
"165";"cd.[6382]";"cd.[8494]";0,985185205936432
"166";"cd.[7794]";"cd.[8890]";0,953282833099365
"167";"cd.[8890]";"cd.[9063]";0,968253970146179
"168";"cd.[6802]";"cd.[8890]";0,968253970146179
"169";"cd.[7794]";"cd.[9063]";0,921825399001439
"170";"cd.[6802]";"cd.[7794]";0,921825399001439
"171";"cd.[6802]";"cd.[9063]";1
"172";"cd.[9333]";"cd.[9450]";1
"173";"cd.[9348]";"cd.[9485]";1
"174";"cd.[5477]";"cd.[9076]";0,988888889551163
"175";"cd.[5477]";"cd.[8368]";0,977777779102325
"176";"cd.[8368]";"cd.[9076]";0,988888889551163
"177";"cd.[5664]";"cd.[8717]";1
"178";"cd.[6771]";"cd.[8507]";1
"179";"cd.[8609]";"cd.[9130]";1
"180";"cd.[4843]";"cd.[8794]";0,977777779102325
"181";"cd.[7346]";"cd.[7719]";1
"182";"cd.[4851]";"cd.[7708]";1
"183";"cd.[10119]";"cd.[7664]";0,960912704467773
"184";"cd.[4419]";"cd.[7644]";0,989583333333333
"185";"cd.[102361]";"cd.[103634]";0,967741926511129
"186";"cd.[1884]";"cd.[9542]";0,947337965170542
"187";"cd.[5731]";"cd.[8779]";1
"188";"cd.[7123]";"cd.[9038]";0,973684211572011
"189";"cd.[6272]";"cd.[7460]";1
"190";"cd.[7980]";"cd.[9790]";0,975297639767329
"191";"cd.[7604]";"cd.[9790]";0,911970903476079
"192";"cd.[7604]";"cd.[7980]";0,936673283576965
"193";"cd.[8043]";"cd.[8234]";1
"194";"cd.[11150]";"cd.[8901]";1
"195";"cd.[9421]";"cd.[9489]";0,98333332935969
"196";"cd.[7161]";"cd.[8131]";0,972222208976746
"197";"cd.[2813]";"cd.[3155]";0,96984127163887
"198";"cd.[9327]";"cd.[9412]";1
"199";"cd.[6740]";"cd.[9193]";0,991666674613953
"200";"cd.[7061]";"cd.[7469]";1
"201";"cd.[10000]";"cd.[8664]";0,942129631837209
"202";"cd.[5835]";"cd.[9278]";1
"203";"cd.[5921]";"cd.[8423]";1
"204";"cd.[7361]";"cd.[7750]";1
"205";"cd.[8265]";"cd.[9149]";1
"206";"cd.[6992]";"cd.[7802]";0,905555566151937
"207";"cd.[5988]";"cd.[8859]";1
"208";"cd.[6944]";"cd.[7731]";0,943650801976522
"209";"cd.[7731]";"cd.[9868]";0,774955928325653
"210";"cd.[6944]";"cd.[9868]";0,988095233837763
"211";"cd.[6358]";"cd.[9694]";0,97051281730334
"212";"cd.[8311]";"cd.[8312]";1
"213";"cd.[5010]";"cd.[5205]";0,959795325994492
"214";"cd.[8344]";"cd.[9229]";0,98888889948527
"215";"cd.[2440]";"cd.[5443]";1
"216";"cd.[2781]";"cd.[9669]";1
"217";"cd.[4508]";"cd.[9662]";1
"218";"cd.[5025]";"cd.[9863]";0,903571426868439
"219";"cd.[8114]";"cd.[8659]";1
"220";"cd.[8364]";"cd.[8526]";0,988095233837763
"221";"cd.[2823]";"cd.[4684]";0,945906430482864
"222";"cd.[6919]";"cd.[8060]";0,966666658719381
"223";"cd.[3539]";"cd.[4190]";0,989583333333333
"224";"cd.[4348]";"cd.[7170]";0,912681152423223
"225";"cd.[8668]";"cd.[8843]";1
"226";"cd.[3356]";"cd.[6955]";1
"227";"cd.[3792]";"cd.[8891]";0,911111116409302
"228";"cd.[4145]";"cd.[4886]";0,990476191043854
"229";"cd.[4184]";"cd.[6950]";0,931481490532557
"230";"cd.[2807]";"cd.[7064]";1
"231";"cd.[3529]";"cd.[4114]";0,992063492536545
"232";"cd.[6316]";"cd.[7311]";1
"233";"cd.[7363]";"cd.[8118]";0,984848479429881
"234";"cd.[6922]";"cd.[9161]";0,936363637447357
"235";"cd.[3383]";"cd.[6969]";0,938492069641749
"236";"cd.[9614]";"cd.[9678]";1
"237";"cd.[2406]";"cd.[7291]";1
"238";"cd.[3159]";"cd.[9969]";0,996527781089147
"239";"cd.[4292]";"cd.[8795]";1
"240";"cd.[3678]";"cd.[4266]";1
"241";"cd.[4266]";"cd.[6690]";1
"242";"cd.[3678]";"cd.[6690]";1
"243";"cd.[2577]";"cd.[2581]";0,988888889551163
"244";"cd.[4481]";"cd.[6716]";1
"245";"cd.[8919]";"cd.[9083]";1
"246";"cd.[7859]";"cd.[9798]";0,987179487943649
"247";"cd.[2771]";"cd.[5458]";0,993055552244186
"248";"cd.[7037]";"cd.[7237]";0,92604715625445
"249";"cd.[100170]";"cd.[100358]";0,966666668653488
"250";"cd.[100198]";"cd.[106489]";1
"251";"cd.[10253]";"cd.[10368]";1
"252";"cd.[4108]";"cd.[7977]";0,974074065685272
"253";"cd.[11530]";"cd.[5099]";1
"254";"cd.[8274]";"cd.[8805]";1
"255";"cd.[9713]";"cd.[9738]";1
"256";"cd.[8260]";"cd.[8445]";0,927876989046733
"257";"cd.[5324]";"cd.[7847]";1
"258";"cd.[10061]";"cd.[3517]";0,990740736325582
"259";"cd.[7134]";"cd.[9695]";1
"260";"cd.[5542]";"cd.[6695]";0,930555572112401
"261";"cd.[10301]";"cd.[6246]";0,976190477609634
"262";"cd.[4178]";"cd.[7199]";1
"263";"cd.[5238]";"cd.[8297]";0,932284384965897
"264";"cd.[6663]";"cd.[6665]";0,984848479429881
"265";"cd.[5394]";"cd.[5418]";1
"266";"cd.[6756]";"cd.[8537]";0,948095212380091
"267";"cd.[4895]";"cd.[9209]";0,976190477609634
"268";"cd.[10652]";"cd.[9640]";1
"269";"cd.[7192]";"cd.[7778]";1
"270";"cd.[4613]";"cd.[6116]";0,976086954275767
"271";"cd.[5912]";"cd.[8949]";1
"272";"cd.[8778]";"cd.[9060]";1
"273";"cd.[2619]";"cd.[6174]";0,979166666666667
"274";"cd.[10107]";"cd.[7341]";1
"275";"cd.[7918]";"cd.[9172]";1
"276";"cd.[2188]";"cd.[8063]";0,986666659514109
"277";"cd.[10449]";"cd.[6162]";1
"278";"cd.[2571]";"cd.[9019]";1
"279";"cd.[3931]";"cd.[5754]";1
"280";"cd.[6568]";"cd.[9557]";1
"281";"cd.[6737]";"cd.[7722]";1
"282";"cd.[7404]";"cd.[7405]";1
"283";"cd.[2317]";"cd.[4988]";0,951515148083369
"284";"cd.[2957]";"cd.[3106]";1
"285";"cd.[3757]";"cd.[6377]";0,876160393158595
"286";"cd.[4384]";"cd.[5657]";1
"287";"cd.[2427]";"cd.[8640]";0,964144736528397
"288";"cd.[9588]";"cd.[9811]";0,979166666666667
"289";"cd.[7344]";"cd.[8291]";0,944078942139943
"290";"cd.[6547]";"cd.[6741]";0,954761902491252
"291";"cd.[7622]";"cd.[8349]";0,958683470884959
"292";"cd.[2252]";"cd.[4733]";1
"293";"cd.[4975]";"cd.[5889]";1
"294";"cd.[5577]";"cd.[8990]";1
"295";"cd.[3475]";"cd.[8592]";0,963888898491859
"296";"cd.[4441]";"cd.[8151]";0,97115384042263
"297";"cd.[3670]";"cd.[4441]";0,967391312122345
"298";"cd.[4441]";"cd.[7769]";0,911111116409302
"299";"cd.[4441]";"cd.[7515]";1
"300";"cd.[3670]";"cd.[8151]";0,942307695746422
"301";"cd.[7769]";"cd.[8151]";0,882264956831932
"302";"cd.[7515]";"cd.[8151]";0,97115384042263
"303";"cd.[3670]";"cd.[7769]";0,878502428531647
"304";"cd.[3670]";"cd.[7515]";0,967391312122345
"305";"cd.[7515]";"cd.[7769]";0,911111116409302
"306";"cd.[8224]";"cd.[8754]";1
"307";"cd.[102562]";"cd.[104023]";0,773984596133232
"308";"cd.[4179]";"cd.[4732]";0,972222223877907
"309";"cd.[4179]";"cd.[4911]";0,972222223877907
"310";"cd.[4732]";"cd.[4911]";1
"311";"cd.[101556]";"cd.[105525]";0,649794682860374
"312";"cd.[101556]";"cd.[106101]";0,708437502384186
"313";"cd.[105525]";"cd.[106101]";0,792812511324883
"314";"cd.[6339]";"cd.[7517]";1
"315";"cd.[7653]";"cd.[7852]";0,881944447755814
"316";"cd.[7653]";"cd.[8029]";0,881944447755814
"317";"cd.[10383]";"cd.[7653]";0,881944447755814
"318";"cd.[10230]";"cd.[7653]";0,873611122369766
"319";"cd.[6858]";"cd.[7653]";0,848611116409302
"320";"cd.[7852]";"cd.[8029]";1
"321";"cd.[10383]";"cd.[7852]";1
"322";"cd.[10230]";"cd.[7852]";0,991666674613953
"323";"cd.[6858]";"cd.[7852]";0,966666668653488
"324";"cd.[10383]";"cd.[8029]";1
"325";"cd.[10230]";"cd.[8029]";0,991666674613953
"326";"cd.[6858]";"cd.[8029]";0,966666668653488
"327";"cd.[10230]";"cd.[10383]";0,991666674613953
"328";"cd.[10383]";"cd.[6858]";0,966666668653488
"329";"cd.[10230]";"cd.[6858]";0,958333343267441
"330";"cd.[10102]";"cd.[8140]";0,89832392334938
"331";"cd.[10064]";"cd.[2819]";1
"332";"cd.[6314]";"cd.[8464]";0,973684206604958
"333";"cd.[4291]";"cd.[4905]";1
"334";"cd.[6722]";"cd.[7707]";1
"335";"cd.[3722]";"cd.[8453]";1
"336";"cd.[6719]";"cd.[8453]";1
"337";"cd.[3722]";"cd.[6719]";1
"338";"cd.[6413]";"cd.[7975]";0,966666668653488
"339";"cd.[7606]";"cd.[8538]";1
"340";"cd.[7671]";"cd.[8759]";1
"341";"cd.[101693]";"cd.[102395]";0,739404767751694
"342";"cd.[5360]";"cd.[8430]";0,914514660835266
"343";"cd.[7540]";"cd.[7542]";0,961538463830948
"344";"cd.[7542]";"cd.[8823]";1
"345";"cd.[7540]";"cd.[8823]";0,961538463830948
"346";"cd.[101723]";"cd.[106128]";0,78125
"347";"cd.[7920]";"cd.[8494]";0,988888904452324
"348";"cd.[6382]";"cd.[7920]";1
"349";"cd.[6382]";"cd.[8494]";0,988888904452324
"350";"cd.[7794]";"cd.[8890]";0,992424249649048
"351";"cd.[8890]";"cd.[9063]";0,969047620892525
"352";"cd.[6802]";"cd.[8890]";0,969047620892525
"353";"cd.[7794]";"cd.[9063]";0,961904764175415
"354";"cd.[6802]";"cd.[7794]";0,961904764175415
"355";"cd.[6802]";"cd.[9063]";1
"356";"cd.[102024]";"cd.[105032]";0,734797298908234
"357";"cd.[102024]";"cd.[102960]";0,78322072327137
"358";"cd.[102960]";"cd.[105032]";0,748310804367065
"359";"cd.[9348]";"cd.[9485]";1
"360";"cd.[5477]";"cd.[9076]";1
"361";"cd.[5477]";"cd.[8368]";1
"362";"cd.[8368]";"cd.[9076]";1
"363";"cd.[5664]";"cd.[8717]";1
"364";"cd.[103878]";"cd.[109649]";0,704347833991051
"365";"cd.[101624]";"cd.[109637]";0,717330932617188
"366";"cd.[100893]";"cd.[109637]";0,750217393040657
"367";"cd.[101107]";"cd.[109637]";0,706499099731445
"368";"cd.[100893]";"cd.[101624]";0,736818179488182
"369";"cd.[101107]";"cd.[101624]";0,75108902156353
"370";"cd.[100893]";"cd.[101107]";0,752619042992592
"371";"cd.[104610]";"cd.[105320]";0,780257940292358
"372";"cd.[4419]";"cd.[7644]";1
"373";"cd.[4520]";"cd.[6174]";0,826923072338104
"374";"cd.[2619]";"cd.[4520]";0,826923072338104
"375";"cd.[2619]";"cd.[6174]";0,96875
"376";"cd.[102361]";"cd.[103634]";0,975806444883347
"377";"cd.[5731]";"cd.[8779]";1
"378";"cd.[7123]";"cd.[9038]";1
"379";"cd.[105617]";"cd.[107999]";0,752930402755737
"380";"cd.[7980]";"cd.[9790]";0,979613110423088
"381";"cd.[7604]";"cd.[9790]";0,936210319399834
"382";"cd.[7604]";"cd.[7980]";0,956597223877907
"383";"cd.[7161]";"cd.[8131]";0,979166656732559
"384";"cd.[2813]";"cd.[3155]";0,971428573131561
"385";"cd.[4384]";"cd.[5657]";1
"386";"cd.[4384]";"cd.[5681]";0,870370373129845
"387";"cd.[5657]";"cd.[5681]";0,870370373129845
"388";"cd.[7061]";"cd.[7469]";1
"389";"cd.[107597]";"cd.[107618]";0,732530295848846
"390";"cd.[5835]";"cd.[9278]";1
"391";"cd.[6620]";"cd.[7622]";0,893333330750465
"392";"cd.[7622]";"cd.[8349]";0,982142850756645
"393";"cd.[6620]";"cd.[8349]";0,881428584456444
"394";"cd.[5921]";"cd.[8423]";1
"395";"cd.[103170]";"cd.[103181]";0,795833334326744
"396";"cd.[100331]";"cd.[103181]";0,752777770161629
"397";"cd.[100785]";"cd.[103181]";0,766666665673256
"398";"cd.[103181]";"cd.[106212]";0,718055546283722
"399";"cd.[100331]";"cd.[103170]";0,749621212482452
"400";"cd.[100785]";"cd.[103170]";0,745833337306976
"401";"cd.[103170]";"cd.[106212]";0,747790411114693
"402";"cd.[100331]";"cd.[100785]";0,743055552244186
"403";"cd.[100331]";"cd.[106212]";0,771049782633781
"404";"cd.[100785]";"cd.[106212]";0,760317459702492
"405";"cd.[5988]";"cd.[8859]";1
"406";"cd.[6358]";"cd.[9694]";0,968269228935242
"407";"cd.[5010]";"cd.[5205]";0,960526317358017
"408";"cd.[2440]";"cd.[5443]";1
"409";"cd.[2781]";"cd.[9669]";1
"410";"cd.[4508]";"cd.[9662]";1
"411";"cd.[5025]";"cd.[9863]";0,908928573131561
"412";"cd.[8114]";"cd.[8659]";1
"413";"cd.[4601]";"cd.[8410]";0,802904039621353
"414";"cd.[4297]";"cd.[4306]";1
"415";"cd.[4297]";"cd.[8636]";1
"416";"cd.[4306]";"cd.[8636]";1
"417";"cd.[7199]";"cd.[8683]";0,859756097197533
"418";"cd.[4178]";"cd.[7199]";1
"419";"cd.[4178]";"cd.[8683]";0,859756097197533
"420";"cd.[103356]";"cd.[108369]";0,764814823865891
"421";"cd.[101830]";"cd.[108369]";0,742378056049347
"422";"cd.[103691]";"cd.[108369]";0,69278846681118
"423";"cd.[107477]";"cd.[108369]";0,630386479198933
"424";"cd.[101830]";"cd.[103356]";0,685975611209869
"425";"cd.[103356]";"cd.[103691]";0,757371783256531
"426";"cd.[103356]";"cd.[107477]";0,727777779102325
"427";"cd.[101830]";"cd.[103691]";0,723323166370392
"428";"cd.[101830]";"cd.[107477]";0,633460357785225
"429";"cd.[103691]";"cd.[107477]";0,735817298293114
"430";"cd.[101164]";"cd.[102760]";0,733806818723679
"431";"cd.[102760]";"cd.[103339]";0,802631571888924
"432";"cd.[101164]";"cd.[103339]";0,698519736528397
"433";"cd.[102838]";"cd.[103772]";0,742222219705582
"434";"cd.[1838]";"cd.[7934]";1
"435";"cd.[104719]";"cd.[106516]";0,758055567741394
"436";"cd.[109081]";"cd.[109197]";0,78223779797554
"437";"cd.[8274]";"cd.[8805]";1
"438";"cd.[8630]";"cd.[8805]";0,907407402992249
"439";"cd.[8274]";"cd.[8630]";0,907407402992249
"440";"cd.[2807]";"cd.[7064]";1
"441";"cd.[102611]";"cd.[106749]";0,77083332836628
"442";"cd.[6316]";"cd.[7311]";1
"443";"cd.[4490]";"cd.[7121]";0,83333332836628
"444";"cd.[7363]";"cd.[8118]";1
"445";"cd.[6922]";"cd.[9161]";0,954545453190804
"446";"cd.[9614]";"cd.[9678]";1
"447";"cd.[5830]";"cd.[8888]";0,816666662693024
"448";"cd.[3159]";"cd.[9969]";1
"449";"cd.[3678]";"cd.[4266]";1
"450";"cd.[4266]";"cd.[6690]";1
"451";"cd.[3678]";"cd.[6690]";1
"452";"cd.[105799]";"cd.[107472]";0,908653870224953
"453";"cd.[103645]";"cd.[105876]";0,776923075318336
"454";"cd.[108841]";"cd.[109058]";0,815217390656471
"455";"cd.[8919]";"cd.[9083]";1
"456";"cd.[7859]";"cd.[9798]";1
"457";"cd.[108746]";"cd.[109003]";0,751602560281754
"458";"cd.[7037]";"cd.[7237]";0,946843847632408
"459";"cd.[4676]";"cd.[5746]";0,875
"460";"cd.[108752]";"cd.[109347]";0,768749982118607
"461";"cd.[102617]";"cd.[109429]";0,696376815438271
"462";"cd.[109420]";"cd.[109429]";0,739516124129295
"463";"cd.[102617]";"cd.[109420]";0,717002674937248
"464";"cd.[11530]";"cd.[5099]";1
"465";"cd.[109199]";"cd.[109365]";0,74558824300766
"466";"cd.[104862]";"cd.[106582]";0,691287904977798
"467";"cd.[100701]";"cd.[106582]";0,70565477013588
"468";"cd.[106582]";"cd.[108239]";0,762708336114883
"469";"cd.[106582]";"cd.[107811]";0,72395832836628
"470";"cd.[104389]";"cd.[106582]";0,765624985098839
"471";"cd.[100701]";"cd.[104862]";0,733882784843445
"472";"cd.[104862]";"cd.[108239]";0,703583925962448
"473";"cd.[104862]";"cd.[107811]";0,67441725730896
"474";"cd.[104389]";"cd.[104862]";0,745592936873436
"475";"cd.[100701]";"cd.[108239]";0,696052640676498
"476";"cd.[100701]";"cd.[107811]";0,694101721048355
"477";"cd.[100701]";"cd.[104389]";0,667965352535248
"478";"cd.[107811]";"cd.[108239]";0,752631574869156
"479";"cd.[104389]";"cd.[108239]";0,774177640676498
"480";"cd.[104389]";"cd.[107811]";0,723768934607506
"481";"cd.[108380]";"cd.[108482]";0,752083346247673
"482";"cd.[104512]";"cd.[109129]";0,706451624631882
"483";"cd.[8260]";"cd.[8445]";0,941220238804817
"484";"cd.[101925]";"cd.[104169]";0,807142853736877
"485";"cd.[6944]";"cd.[7731]";0,941666677594185
"486";"cd.[7731]";"cd.[9868]";0,82407408952713
"487";"cd.[6944]";"cd.[9868]";1
"488";"cd.[10361]";"cd.[6761]";0,91388888657093
"489";"cd.[5426]";"cd.[6761]";0,891666665673256
"490";"cd.[6761]";"cd.[7869]";0,891666665673256
"491";"cd.[10361]";"cd.[5426]";0,977777779102325
"492";"cd.[10361]";"cd.[7869]";0,977777779102325
"493";"cd.[5426]";"cd.[7869]";1
"494";"cd.[5324]";"cd.[7847]";1
"495";"cd.[10301]";"cd.[6246]";1
"496";"cd.[103804]";"cd.[104425]";0,741071432828903
"497";"cd.[5371]";"cd.[5959]";0,986111104488373
"498";"cd.[5238]";"cd.[8297]";0,963636368513107
"499";"cd.[6663]";"cd.[6665]";0,977272719144821
"500";"cd.[8301]";"cd.[9114]";0,837500005960464
"501";"cd.[6756]";"cd.[8537]";0,969999983906746
"502";"cd.[4895]";"cd.[9209]";1
"503";"cd.[10652]";"cd.[9640]";1
"504";"cd.[4588]";"cd.[4774]";0,916666656732559
"505";"cd.[5912]";"cd.[8949]";1
"506";"cd.[100655]";"cd.[107814]";0,721785709261894
"507";"cd.[103155]";"cd.[106396]";0,741666674613953
"508";"cd.[7918]";"cd.[9172]";1
"509";"cd.[10449]";"cd.[6162]";1
"510";"cd.[2571]";"cd.[9019]";1
"511";"cd.[3931]";"cd.[5754]";1
"512";"cd.[6568]";"cd.[9557]";1
"513";"cd.[6737]";"cd.[7722]";1
"514";"cd.[3757]";"cd.[6377]";0,901857137680054
"515";"cd.[2427]";"cd.[8640]";0,971874997019768
"516";"cd.[102116]";"cd.[104281]";0,719281047582626
"517";"cd.[102401]";"cd.[102567]";0,702083334326744
"518";"cd.[105618]";"cd.[106271]";0,765217393636703
"519";"cd.[7008]";"cd.[8831]";1
"520";"cd.[100001]";"cd.[100010]";0,835576921701431
"521";"cd.[101243]";"cd.[101298]";0,744358971714973
"522";"cd.[100810]";"cd.[105094]";0,803571432828903
"523";"cd.[107340]";"cd.[107990]";0,807692304253578
"524";"cd.[10240]";"cd.[7367]";0,983333334326744
"525";"cd.[100466]";"cd.[108786]";0,726470589637756
"526";"cd.[106868]";"cd.[108869]";0,722701147198677
"527";"cd.[3192]";"cd.[7923]";0,974999994039536
"528";"cd.[4395]";"cd.[8725]";0,972222223877907
"529";"cd.[6948]";"cd.[7365]";0,984375
