First Object;Second Object;Similarity Value;TP;FP
cddb.[4586];cddb.[7633];0.9705882370471954;1;
cddb.[4613];cddb.[6116];0.967391312122345;1;
cddb.[4676];cddb.[5746];0.875;1;
cddb.[4732];cddb.[4911];1.0;1;
cddb.[4843];cddb.[8794];1.0;1;
cddb.[4851];cddb.[7708];1.0;1;
cddb.[4895];cddb.[9209];1.0;1;
cddb.[4975];cddb.[5889];1.0;1;
cddb.[5025];cddb.[9863];0.887499988079071;1;
cddb.[11530];cddb.[5099];1.0;1;
cddb.[5185];cddb.[7072];0.9549999833106995;1;
cddb.[5238];cddb.[8297];0.9545454382896423;1;
cddb.[11455];cddb.[5289];0.9411764740943909;1;
cddb.[5324];cddb.[7847];1.0;1;
cddb.[5360];cddb.[8430];0.8615384697914124;1;
cddb.[5371];cddb.[5959];0.9861111044883728;1;
cddb.[5394];cddb.[5418];0.984375;1;
cddb.[5426];cddb.[7869];1.0;1;
cddb.[10361];cddb.[5426];0.8888888955116272;1;
cddb.[5477];cddb.[8368];1.0;1;
cddb.[5477];cddb.[9076];1.0;1;
cddb.[5542];cddb.[6695];0.8739034980535507;1;
cddb.[5574];cddb.[7562];0.9625000059604645;1;
cddb.[5577];cddb.[8990];0.9583333283662796;1;
cddb.[5731];cddb.[8779];1.0;1;
cddb.[5776];cddb.[9008];1.0;1;
cddb.[5835];cddb.[9278];0.9583333283662796;1;
cddb.[5912];cddb.[8949];1.0;1;
cddb.[5921];cddb.[8423];1.0;1;
cddb.[5988];cddb.[8859];1.0;1;
cddb.[6102];cddb.[9115];0.9444444477558136;1;
cddb.[10449];cddb.[6162];0.9375;1;
cddb.[10301];cddb.[6246];1.0;1;
cddb.[6272];cddb.[7460];1.0;1;
cddb.[6314];cddb.[8464];0.9736842066049576;1;
cddb.[6316];cddb.[7311];1.0;1;
cddb.[6339];cddb.[7517];1.0;1;
cddb.[6358];cddb.[9694];0.9590301066637039;1;
cddb.[6382];cddb.[7920];1.0;1;
cddb.[6382];cddb.[8494];0.9309523850679398;1;
cddb.[6547];cddb.[6741];0.9821428507566452;1;
cddb.[6568];cddb.[9557];1.0;1;
cddb.[6663];cddb.[6665];0.9772727191448212;1;
cddb.[6719];cddb.[8453];1.0;1;
cddb.[6722];cddb.[7707];1.0;1;
cddb.[6737];cddb.[7722];1.0;1;
cddb.[6740];cddb.[9193];0.9615384638309479;1;
cddb.[10361];cddb.[6761];0.8694444447755814;1;
cddb.[6771];cddb.[8507];1.0;1;
cddb.[6802];cddb.[7794];0.9369047731161118;1;
cddb.[6802];cddb.[8890];0.9440476298332214;1;
cddb.[6802];cddb.[9063];1.0;1;
cddb.[6811];cddb.[7429];0.8671497702598572;1;
cddb.[6858];cddb.[7852];0.938811182975769;1;
cddb.[6858];cddb.[8029];0.938811182975769;1;
cddb.[10230];cddb.[6858];0.9003496468067169;1;
cddb.[10383];cddb.[6858];0.938811182975769;1;
cddb.[6919];cddb.[8060];0.8854166567325592;1;
cddb.[6922];cddb.[9161];0.9545454531908035;1;
cddb.[6925];cddb.[6926];0.9583333432674408;1;
cddb.[6944];cddb.[9868];1.0;1;
cddb.[6948];cddb.[7365];0.9799999892711639;1;
cddb.[7008];cddb.[8831];1.0;1;
cddb.[7037];cddb.[7237];0.9270025789737701;1;
cddb.[7061];cddb.[7469];1.0;1;
cddb.[7094];cddb.[9189];0.9090909063816071;1;
cddb.[7123];cddb.[9038];1.0;1;
cddb.[7134];cddb.[9695];1.0;1;
cddb.[7161];cddb.[8131];0.9444444477558136;1;
cddb.[7199];cddb.[8683];0.8597560971975327;1;
cddb.[7201];cddb.[8536];1.0;1;
cddb.[7288];cddb.[7483];0.9027777761220932;1;
cddb.[10107];cddb.[7341];1.0;1;
cddb.[7344];cddb.[8291];0.9473684132099152;1;
cddb.[7346];cddb.[7719];1.0;1;
cddb.[7350];cddb.[8473];1.0;1;
cddb.[7361];cddb.[7750];1.0;1;
cddb.[7363];cddb.[8118];1.0;1;
cddb.[10240];cddb.[7367];0.9833333343267441;1;
cddb.[7404];cddb.[7405];1.0;1;
cddb.[7515];cddb.[8151];0.9711538404226303;1;
cddb.[7525];cddb.[8995];0.90625;1;
cddb.[7540];cddb.[7542];0.9615384638309479;1;
cddb.[7540];cddb.[8823];0.9615384638309479;1;
cddb.[7542];cddb.[8823];1.0;1;
cddb.[7604];cddb.[7980];0.9549632370471954;1;
cddb.[7604];cddb.[9790];0.9099264740943909;1;
cddb.[7606];cddb.[8538];1.0;1;
cddb.[7622];cddb.[8349];0.9821428507566452;1;
cddb.[7653];cddb.[7852];0.8675213754177094;1;
cddb.[7653];cddb.[8029];0.8675213754177094;;1
cddb.[10383];cddb.[7653];0.8675213754177094;1;
cddb.[7671];cddb.[8759];1.0;1;
cddb.[7794];cddb.[8890];0.9924242496490479;1;
cddb.[7794];cddb.[9063];0.9369047731161118;1;
cddb.[7852];cddb.[8029];1.0;1;
cddb.[10230];cddb.[7852];0.9615384638309479;1;
cddb.[10383];cddb.[7852];1.0;1;
cddb.[7859];cddb.[9798];1.0;1;
cddb.[10361];cddb.[7869];0.8888888955116272;1;
cddb.[7918];cddb.[9172];1.0;1;
cddb.[7920];cddb.[8494];0.9309523850679398;1;
cddb.[7980];cddb.[9790];0.9549632370471954;1;
cddb.[10230];cddb.[8029];0.9615384638309479;1;
cddb.[10383];cddb.[8029];1.0;1;
cddb.[8043];cddb.[8234];1.0;1;
cddb.[8114];cddb.[8659];1.0;1;
cddb.[8224];cddb.[8754];1.0;1;
cddb.[8265];cddb.[9149];1.0;1;
cddb.[8274];cddb.[8630];0.9074074029922485;1;
cddb.[8274];cddb.[8805];1.0;1;
cddb.[8311];cddb.[8312];1.0;1;
cddb.[8344];cddb.[9229];0.9166666567325592;1;
cddb.[8368];cddb.[9076];1.0;1;
cddb.[8609];cddb.[9130];0.9500000029802322;1;
cddb.[8630];cddb.[8805];0.9074074029922485;1;
cddb.[10314];cddb.[8640];0.9333333373069763;1;
cddb.[10000];cddb.[8664];0.9520833343267441;1;
cddb.[8668];cddb.[8843];1.0;1;
cddb.[8778];cddb.[9060];1.0;1;
cddb.[8890];cddb.[9063];0.9440476298332214;1;
cddb.[11150];cddb.[8901];0.9659090936183929;1;
cddb.[8919];cddb.[9083];1.0;1;
cddb.[9327];cddb.[9412];0.8548387140035629;1;
cddb.[9333];cddb.[9450];0.96875;1;
cddb.[9348];cddb.[9485];0.96875;1;
cddb.[9421];cddb.[9489];1.0;1;
cddb.[9588];cddb.[9811];1.0;1;
cddb.[9614];cddb.[9678];1.0;1;
cddb.[10652];cddb.[9640];1.0;1;
cddb.[9713];cddb.[9738];1.0;1;
cddb.[10230];cddb.[10383];0.9615384638309479;1;
cddb.[10253];cddb.[10368];1.0;1;
cddb.[10938];cddb.[11125];1.0;1;
cddb.[10983];cddb.[11174];0.8651515245437622;1;
cddb.[100170];cddb.[100358];0.9833333343267441;;1
cddb.[100198];cddb.[106489];1.0;;1
cddb.[100446];cddb.[107445];0.8749999850988388;;1
cddb.[100856];cddb.[104099];0.85227270424366;;1
cddb.[100856];cddb.[107734];0.857481062412262;;1
cddb.[101021];cddb.[104117];0.9010721147060394;;1
cddb.[101502];cddb.[103830];0.9131944477558136;;1
cddb.[101564];cddb.[108252];0.8624999970197678;;1
cddb.[102361];cddb.[103634];0.9758064448833466;;1
cddb.[102987];cddb.[104167];0.8961039036512375;;1
cddb.[103398];cddb.[107056];0.877480149269104;;1
cddb.[103830];cddb.[104396];0.9038461446762085;;1
cddb.[104410];cddb.[107734];0.8693182021379471;;1
cddb.[105131];cddb.[105148];0.8642857223749161;;1
cddb.[105723];cddb.[107973];0.8518518507480621;;1
cddb.[106344];cddb.[106511];0.8505882322788239;;1
